y,x,street_count,highway,ref,geometry
-11.9857523,-77.060811,4,N/A,N/A,POINT (-77.060811 -11.9857523)
-11.9860389,-77.0626511,4,N/A,N/A,POINT (-77.0626511 -11.9860389)
-11.9855609,-77.0627293,4,N/A,N/A,POINT (-77.0627293 -11.9855609)
-11.9856332,-77.0632047,3,N/A,N/A,POINT (-77.0632047 -11.9856332)
-11.9852703,-77.0608929,3,N/A,N/A,POINT (-77.0608929 -11.9852703)
-11.9839152,-77.0634,3,N/A,N/A,POINT (-77.0634 -11.9839152)
-11.9834765,-77.0612015,4,N/A,N/A,POINT (-77.0612015 -11.9834765)
-11.9829334,-77.0612922,3,N/A,N/A,POINT (-77.0612922 -11.9829334)
-11.9858019,-77.0642837,3,N/A,N/A,POINT (-77.0642837 -11.9858019)
-11.982718,-77.0594318,3,N/A,N/A,POINT (-77.0594318 -11.982718)
-11.9824206,-77.059511,3,N/A,N/A,POINT (-77.059511 -11.9824206)
-11.982152,-77.0613829,3,N/A,N/A,POINT (-77.0613829 -11.982152)
-11.9818881,-77.0632858,3,N/A,N/A,POINT (-77.0632858 -11.9818881)
-11.9834465,-77.064662,3,N/A,N/A,POINT (-77.064662 -11.9834465)
-11.9832343,-77.0630981,4,N/A,N/A,POINT (-77.0630981 -11.9832343)
-11.9829631,-77.061231,3,N/A,N/A,POINT (-77.061231 -11.9829631)
-11.982942,-77.0642318,3,N/A,N/A,POINT (-77.0642318 -11.982942)
-11.9833755,-77.0641849,3,N/A,N/A,POINT (-77.0641849 -11.9833755)
-11.9823522,-77.06323,3,N/A,N/A,POINT (-77.06323 -11.9823522)
-11.9820393,-77.0622014,4,N/A,N/A,POINT (-77.0622014 -11.9820393)
-11.9830546,-77.062053,3,N/A,N/A,POINT (-77.062053 -11.9830546)
-11.9836881,-77.0625131,4,N/A,N/A,POINT (-77.0625131 -11.9836881)
-11.9819515,-77.0628203,3,N/A,N/A,POINT (-77.0628203 -11.9819515)
-11.9831586,-77.0626138,4,N/A,N/A,POINT (-77.0626138 -11.9831586)
-12.0040915,-77.0596522,3,N/A,N/A,POINT (-77.0596522 -12.0040915)
-12.0039832,-77.0588666,3,N/A,N/A,POINT (-77.0588666 -12.0039832)
-12.0040445,-77.059296,3,N/A,N/A,POINT (-77.059296 -12.0040445)
-11.9768425,-77.060056,4,N/A,N/A,POINT (-77.060056 -11.9768425)
-11.9779363,-77.0599735,3,N/A,N/A,POINT (-77.0599735 -11.9779363)
-11.9789908,-77.0597432,3,N/A,N/A,POINT (-77.0597432 -11.9789908)
-11.9800249,-77.0595222,3,N/A,N/A,POINT (-77.0595222 -11.9800249)
-11.9810518,-77.0593103,3,N/A,N/A,POINT (-77.0593103 -11.9810518)
-11.9831155,-77.0588665,4,N/A,N/A,POINT (-77.0588665 -11.9831155)
-11.9804561,-77.0624663,3,N/A,N/A,POINT (-77.0624663 -11.9804561)
-11.9815102,-77.0622863,4,N/A,N/A,POINT (-77.0622863 -11.9815102)
-11.9812994,-77.0649779,3,N/A,N/A,POINT (-77.0649779 -11.9812994)
-11.9793933,-77.0626275,3,N/A,N/A,POINT (-77.0626275 -11.9793933)
-11.9783588,-77.0627979,4,N/A,N/A,POINT (-77.0627979 -11.9783588)
-11.9816632,-77.064915,3,N/A,N/A,POINT (-77.064915 -11.9816632)
-11.9822747,-77.0637098,3,N/A,N/A,POINT (-77.0637098 -11.9822747)
-12.0041156,-77.0607707,4,N/A,N/A,POINT (-77.0607707 -12.0041156)
-12.0025587,-77.061925,3,N/A,N/A,POINT (-77.061925 -12.0025587)
-12.0008741,-77.0621613,3,N/A,N/A,POINT (-77.0621613 -12.0008741)
-12.0018997,-77.0455223,1,N/A,N/A,POINT (-77.0455223 -12.0018997)
-11.9986305,-77.0506522,3,N/A,N/A,POINT (-77.0506522 -11.9986305)
-12.005976,-77.0481845,3,N/A,N/A,POINT (-77.0481845 -12.005976)
-11.9705007,-77.0459451,4,N/A,N/A,POINT (-77.0459451 -11.9705007)
-11.9771073,-77.0557029,4,N/A,N/A,POINT (-77.0557029 -11.9771073)
